ZH	Abk. Kanton Zürich
Moutier	Gde. im Arr. Jura bernois, Kt. Bern
Perrefitte	Gde. im Arr. Jura bernois, Kt. Bern
Pontenet	Gde. im Arr. Jura bernois, Kt. Bern
Reconvilier	Gde. im Arr. Jura bernois, Kt. Bern
Roches	Gde. im Arr. Jura bernois, Kt. Bern
Saicourt	Gde. im Arr. Jura bernois, Kt. Bern
Saules	Gde. im Arr. Jura bernois, Kt. Bern
Schelten	Gde. im Arr. Jura bernois, Kt. Bern
Seehof	Gde. im Arr. Jura bernois, Kt. Bern
Sornetan	Gde. im Arr. Jura bernois, Kt. Bern
Sorvilier	Gde. im Arr. Jura bernois, Kt. Bern
Souboz	Gde. im Arr. Jura bernois, Kt. Bern
Tavannes	Gde. im Arr. Jura bernois, Kt. Bern
Rebévelier	Gde. im Arr. Jura bernois, Kt. Bern
Diesse	Gde. im Arr. Jura bernois, Kt. Bern
Lamboing	Gde. im Arr. Jura bernois, Kt. Bern
La Neuveville	Gde. im Arr. Jura bernois, Kt. Bern
Nods	Gde. im Arr. Jura bernois, Kt. Bern
Prêles	Gde. im Arr. Jura bernois, Kt. Bern
Aegerten	Gde. im Kr. BielBienne, Kt. Bern
Bellmund	Gde. im Kr. BielBienne, Kt. Bern
Brügg	Gde. im Kr. BielBienne, Kt. Bern
Bühl	Gde. im Kr. Seeland, Kt. Bern
Epsach	Gde. im Kr. Seeland, Kt. Bern
Hagneck	Gde. im Kr. Seeland, Kt. Bern
Hermrigen	Gde. im Kr. Seeland, Kt. Bern
Jens	Gde. im Kr. Seeland, Kt. Bern
Ipsach	Gde. im Kr. BielBienne, Kt. Bern
Ligerz	Gde. im Kr. BielBienne, Kt. Bern
Merzligen	Gde. im Kr. Seeland, Kt. Bern
Mörigen	Gde. im Kr. BielBienne, Kt. Bern
Nidau	Gde. im Kr. BielBienne, Kt. Bern
Orpund	Gde. im Kr. BielBienne, Kt. Bern
Port	Gde. im Kr. BielBienne, Kt. Bern
Safnern	Gde. im Kr. BielBienne, Kt. Bern
Scheuren	Gde. im Kr. BielBienne, Kt. Bern
Schwadernau	Gde. im Kr. BielBienne, Kt. Bern
Studen	Gde. im Kr. Seeland, Kt. Bern
Sutz-Lattrigen	Gde. im Kr. BielBienne, Kt. Bern
Täuffelen	Gde. im Kr. Seeland, Kt. Bern
Walperswil	Gde. im Kr. Seeland, Kt. Bern
Worben	Gde. im Kr. Seeland, Kt. Bern
Twann-Tüscherz	Gde. im Kr. BielBienne, Kt. Bern
Därstetten	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Diemtigen	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Erlenbach im Simmental	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Niederstocken	Gde. im Kr. Thun, Kt. Bern
Oberstocken	Gde. im Kr. Thun, Kt. Bern
Oberwil im Simmental	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Reutigen	Gde. im Kr. Thun, Kt. Bern
Spiez	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Wimmis	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Gadmen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Guttannen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Hasliberg	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Innertkirchen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Meiringen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Schattenhalb	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Boltigen	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Lenk	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
St.Stephan	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Zweisimmen	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Gsteig	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Lauenen	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Saanen	Gde. im Kr. Obersimmental-Saanen, Kt. Bern
Guggisberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Rüschegg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Schwarzenburg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Belp	Gde. im Kr. Bern-Mittelland, Kt. Bern
Belpberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Burgistein	Gde. im Kr. Thun, Kt. Bern
Gelterfingen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Gerzensee	Gde. im Kr. Bern-Mittelland, Kt. Bern
Gurzelen	Gde. im Kr. Thun, Kt. Bern
Jaberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kaufdorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kehrsatz	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kienersrüti	Gde. im Kr. Thun, Kt. Bern
Kirchdorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kirchenthurnen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Lohnstorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mühledorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mühlethurnen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Niedermuhlern	Gde. im Kr. Bern-Mittelland, Kt. Bern
Noflen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Riggisberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Rüeggisberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Rümligen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Seftigen	Gde. im Kr. Thun, Kt. Bern
Toffen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Uttigen	Gde. im Kr. Thun, Kt. Bern
Wattenwil	Gde. im Kr. Thun, Kt. Bern
Wald	Gde. im Kr. Bern-Mittelland, Kt. Bern
Eggiwil	Gde. im Kr. Emmental, Kt. Bern
Langnau im Emmental	Gde. im Kr. Emmental, Kt. Bern
Lauperswil	Gde. im Kr. Emmental, Kt. Bern
Röthenbach im Emmental	Gde. im Kr. Emmental, Kt. Bern
Rüderswil	Gde. im Kr. Emmental, Kt. Bern
Schangnau	Gde. im Kr. Emmental, Kt. Bern
Signau	Gde. im Kr. Emmental, Kt. Bern
Trub	Gde. im Kr. Emmental, Kt. Bern
Trubschachen	Gde. im Kr. Emmental, Kt. Bern
Amsoldingen	Gde. im Kr. Thun, Kt. Bern
Blumenstein	Gde. im Kr. Thun, Kt. Bern
Buchholterberg	Gde. im Kr. Thun, Kt. Bern
Eriz	Gde. im Kr. Thun, Kt. Bern
Fahrni	Gde. im Kr. Thun, Kt. Bern
Heiligenschwendi	Gde. im Kr. Thun, Kt. Bern
Heimberg	Gde. im Kr. Thun, Kt. Bern
Hilterfingen	Gde. im Kr. Thun, Kt. Bern
Höfen	Gde. im Kr. Thun, Kt. Bern
Homberg	Gde. im Kr. Thun, Kt. Bern
Horrenbach-Buchen	Gde. im Kr. Thun, Kt. Bern
Oberhofen am Thunersee	Gde. im Kr. Thun, Kt. Bern
Oberhofen	Gde. im Kr. Thun, Kt. Bern
Oberlangenegg	Gde. im Kr. Thun, Kt. Bern
Pohlern	Gde. im Kr. Thun, Kt. Bern
Schwendibach	Gde. im Kr. Thun, Kt. Bern
Sigriswil	Gde. im Kr. Thun, Kt. Bern
Steffisburg	Gde. im Kr. Thun, Kt. Bern
Teuffenthal	Gde. im Kr. Thun, Kt. Bern
Thierachern	Gde. im Kr. Thun, Kt. Bern
Thun	Gde. im Kr. Thun, Kt. Bern
Uebeschi	Gde. im Kr. Thun, Kt. Bern
Uetendorf	Gde. im Kr. Thun, Kt. Bern
Unterlangenegg	Gde. im Kr. Thun, Kt. Bern
Wachseldorn	Gde. im Kr. Thun, Kt. Bern
Zwieselberg	Gde. im Kr. Thun, Kt. Bern
Forst-Längenbühl	Gde. im Kr. Thun, Kt. Bern
Affoltern im Emmental	Gde. im Kr. Emmental, Kt. Bern
Dürrenroth	Gde. im Kr. Emmental, Kt. Bern
Eriswil	Gde. im Kr. Oberaargau, Kt. Bern
Huttwil	Gde. im Kr. Oberaargau, Kt. Bern
Lützelflüh	Gde. im Kr. Emmental, Kt. Bern
Rüegsau	Gde. im Kr. Emmental, Kt. Bern
Sumiswald	Gde. im Kr. Emmental, Kt. Bern
Trachselwald	Gde. im Kr. Emmental, Kt. Bern
Walterswil	Gde. im Kr. Oberaargau, Kt. Bern
Wyssachen	Gde. im Kr. Oberaargau, Kt. Bern
Attiswil	Gde. im Kr. Oberaargau, Kt. Bern
Berken	Gde. im Kr. Oberaargau, Kt. Bern
Bettenhausen	Gde. im Kr. Oberaargau, Kt. Bern
Farnern	Gde. im Kr. Oberaargau, Kt. Bern
Graben	Gde. im Kr. Oberaargau, Kt. Bern
Heimenhausen	Gde. im Kr. Oberaargau, Kt. Bern
Hermiswil	Gde. im Kr. Oberaargau, Kt. Bern
Herzogenbuchsee	Gde. im Kr. Oberaargau, Kt. Bern
Inkwil	Gde. im Kr. Oberaargau, Kt. Bern
Niederbipp	Gde. im Kr. Oberaargau, Kt. Bern
Niederönz	Gde. im Kr. Oberaargau, Kt. Bern
Oberbipp	Gde. im Kr. Oberaargau, Kt. Bern
Ochlenberg	Gde. im Kr. Oberaargau, Kt. Bern
Rumisberg	Gde. im Kr. Oberaargau, Kt. Bern
Seeberg	Gde. im Kr. Oberaargau, Kt. Bern
Thörigen	Gde. im Kr. Oberaargau, Kt. Bern
Walliswil bei Niederbipp	Gde. im Kr. Oberaargau, Kt. Bern
Walliswil bei Wangen	Gde. im Kr. Oberaargau, Kt. Bern
Wangen an der Aare	Gde. im Kr. Oberaargau, Kt. Bern
Wangenried	Gde. im Kr. Oberaargau, Kt. Bern
Wiedlisbach	Gde. im Kr. Oberaargau, Kt. Bern
Wolfisberg	Gde. im Kr. Oberaargau, Kt. Bern
Doppleschwand	Gde. im Amt Entlebuch, Kt. Luzern
Entlebuch	Gde. im Amt Entlebuch, Kt. Luzern
Escholzmatt	Gde. im Amt Entlebuch, Kt. Luzern
Flühli	Gde. im Amt Entlebuch, Kt. Luzern
Hasle	Gde. im Amt Entlebuch, Kt. Luzern
Marbach	Gde. im Amt Entlebuch, Kt. Luzern
Romoos	Gde. im Amt Entlebuch, Kt. Luzern
Schüpfheim	Gde. im Amt Entlebuch, Kt. Luzern
Werthenstein	Gde. im Amt Entlebuch, Kt. Luzern
Aesch	Gde. im Amt Hochdorf, Kt. Luzern
Altwis	Gde. im Amt Hochdorf, Kt. Luzern
Ballwil	Gde. im Amt Hochdorf, Kt. Luzern
Emmen	Gde. im Amt Hochdorf, Kt. Luzern
Ermensee	Gde. im Amt Hochdorf, Kt. Luzern
Eschenbach	Gde. im Amt Hochdorf, Kt. Luzern
Hitzkirch	Gde. im Amt Hochdorf, Kt. Luzern
Hochdorf	Gde. im Amt Hochdorf, Kt. Luzern
Hohenrain	Gde. im Amt Hochdorf, Kt. Luzern
Inwil	Gde. im Amt Hochdorf, Kt. Luzern
Rain	Gde. im Amt Hochdorf, Kt. Luzern
Römerswil	Gde. im Amt Hochdorf, Kt. Luzern
Rothenburg	Gde. im Amt Hochdorf, Kt. Luzern
Schongau	Gde. im Amt Hochdorf, Kt. Luzern
Adligenswil	Gde. im Amt Luzern, Kt. Luzern
Buchrain	Gde. im Amt Luzern, Kt. Luzern
Dierikon	Gde. im Amt Luzern, Kt. Luzern
Ebikon	Gde. im Amt Luzern, Kt. Luzern
Gisikon	Gde. im Amt Luzern, Kt. Luzern
Greppen	Gde. im Amt Luzern, Kt. Luzern
Honau	Gde. im Amt Luzern, Kt. Luzern
Horw	Gde. im Amt Luzern, Kt. Luzern
Kriens	Gde. im Amt Luzern, Kt. Luzern
Luzern	Gde. im Amt Luzern, Kt. Luzern
Malters	Gde. im Amt Luzern, Kt. Luzern
Meggen	Gde. im Amt Luzern, Kt. Luzern
Meierskappel	Gde. im Amt Luzern, Kt. Luzern
Root	Gde. im Amt Luzern, Kt. Luzern
Schwarzenberg	Gde. im Amt Luzern, Kt. Luzern
Udligenswil	Gde. im Amt Luzern, Kt. Luzern
Vitznau	Gde. im Amt Luzern, Kt. Luzern
Weggis	Gde. im Amt Luzern, Kt. Luzern
Beromünster	Gde. im Amt Sursee, Kt. Luzern
Büron	Gde. im Amt Sursee, Kt. Luzern
Buttisholz	Gde. im Amt Sursee, Kt. Luzern
Eich	Gde. im Amt Sursee, Kt. Luzern
Geuensee	Gde. im Amt Sursee, Kt. Luzern
Grosswangen	Gde. im Amt Sursee, Kt. Luzern
Hildisrieden	Gde. im Amt Sursee, Kt. Luzern
Knutwil	Gde. im Amt Sursee, Kt. Luzern
Mauensee	Gde. im Amt Sursee, Kt. Luzern
Neudorf	Gde. im Amt Sursee, Kt. Luzern
Neuenkirch	Gde. im Amt Sursee, Kt. Luzern
Nottwil	Gde. im Amt Sursee, Kt. Luzern
Oberkirch	Gde. im Amt Sursee, Kt. Luzern
Pfeffikon	Gde. im Amt Sursee, Kt. Luzern
Rickenbach	Gde. im Amt Sursee, Kt. Luzern
Ruswil	Gde. im Amt Sursee, Kt. Luzern
Schenkon	Gde. im Amt Sursee, Kt. Luzern
Schlierbach	Gde. im Amt Sursee, Kt. Luzern
Sempach	Gde. im Amt Sursee, Kt. Luzern
Sursee	Gde. im Amt Sursee, Kt. Luzern
Triengen	Gde. im Amt Sursee, Kt. Luzern
Wolhusen	Gde. im Amt Sursee, Kt. Luzern
Alberswil	Gde. im Amt Willisau, Kt. Luzern
Altbüron	Gde. im Amt Willisau, Kt. Luzern
Altishofen	Gde. im Amt Willisau, Kt. Luzern
Dagmersellen	Gde. im Amt Willisau, Kt. Luzern
Ebersecken	Gde. im Amt Willisau, Kt. Luzern
Egolzwil	Gde. im Amt Willisau, Kt. Luzern
Ettiswil	Gde. im Amt Willisau, Kt. Luzern
Fischbach	Gde. im Amt Willisau, Kt. Luzern
Gettnau	Gde. im Amt Willisau, Kt. Luzern
Grossdietwil	Gde. im Amt Willisau, Kt. Luzern
Hergiswil bei Willisau	Gde. im Amt Willisau, Kt. Luzern
Luthern	Gde. im Amt Willisau, Kt. Luzern
Menznau	Gde. im Amt Willisau, Kt. Luzern
Nebikon	Gde. im Amt Willisau, Kt. Luzern
Ohmstal	Gde. im Amt Willisau, Kt. Luzern
Pfaffnau	Gde. im Amt Willisau, Kt. Luzern
Reiden	Gde. im Amt Willisau, Kt. Luzern
Roggliswil	Gde. im Amt Willisau, Kt. Luzern
Schötz	Gde. im Amt Willisau, Kt. Luzern
Ufhusen	Gde. im Amt Willisau, Kt. Luzern
Wauwil	Gde. im Amt Willisau, Kt. Luzern
Wikon	Gde. im Amt Willisau, Kt. Luzern
Zell	Gde. im Amt Willisau, Kt. Luzern
Willisau	Gde. im Amt Willisau, Kt. Luzern
Altdorf	Gde. im Kanton Uri, Kt. Uri
Andermatt	Gde. im Kanton Uri, Kt. Uri
Attinghausen	Gde. im Kanton Uri, Kt. Uri
Bauen	Gde. im Kanton Uri, Kt. Uri
Bürglen	Gde. im Kanton Uri, Kt. Uri
Erstfeld	Gde. im Kanton Uri, Kt. Uri
Flüelen	Gde. im Kanton Uri, Kt. Uri
Göschenen	Gde. im Kanton Uri, Kt. Uri
Gurtnellen	Gde. im Kanton Uri, Kt. Uri
Hospental	Gde. im Kanton Uri, Kt. Uri
Isenthal	Gde. im Kanton Uri, Kt. Uri
Realp	Gde. im Kanton Uri, Kt. Uri
Schattdorf	Gde. im Kanton Uri, Kt. Uri
Seedorf	Gde. im Kanton Uri, Kt. Uri
Seelisberg	Gde. im Kanton Uri, Kt. Uri
Silenen	Gde. im Kanton Uri, Kt. Uri
Sisikon	Gde. im Kanton Uri, Kt. Uri
Spiringen	Gde. im Kanton Uri, Kt. Uri
Unterschächen	Gde. im Kanton Uri, Kt. Uri
Wassen	Gde. im Kanton Uri, Kt. Uri
Einsiedeln	Gde. im Bez. Einsiedeln, Kt. Schwyz
Gersau	Gde. im Bez. Gersau, Kt. Schwyz
Feusisberg	Gde. im Bez. Höfe, Kt. Schwyz
Freienbach	Gde. im Bez. Höfe, Kt. Schwyz
Wollerau	Gde. im Bez. Höfe, Kt. Schwyz
Küssnacht	Gde. im Bez. Küssnacht, Kt. Schwyz
Altendorf	Gde. im Bez. March, Kt. Schwyz
Galgenen	Gde. im Bez. March, Kt. Schwyz
Innerthal	Gde. im Bez. March, Kt. Schwyz
Lachen	Gde. im Bez. March, Kt. Schwyz
Reichenburg	Gde. im Bez. March, Kt. Schwyz
Schübelbach	Gde. im Bez. March, Kt. Schwyz
Tuggen	Gde. im Bez. March, Kt. Schwyz
Vorderthal	Gde. im Bez. March, Kt. Schwyz
Wangen	Gde. im Bez. March, Kt. Schwyz
Alpthal	Gde. im Bez. Schwyz, Kt. Schwyz
Arth	Gde. im Bez. Schwyz, Kt. Schwyz
Illgau	Gde. im Bez. Schwyz, Kt. Schwyz
Ingenbohl	Gde. im Bez. Schwyz, Kt. Schwyz
Lauerz	Gde. im Bez. Schwyz, Kt. Schwyz
Morschach	Gde. im Bez. Schwyz, Kt. Schwyz
Muotathal	Gde. im Bez. Schwyz, Kt. Schwyz
Oberiberg	Gde. im Bez. Schwyz, Kt. Schwyz
Riemenstalden	Gde. im Bez. Schwyz, Kt. Schwyz
Rothenthurm	Gde. im Bez. Schwyz, Kt. Schwyz
Sattel	Gde. im Bez. Schwyz, Kt. Schwyz
Schwyz	Gde. im Bez. Schwyz, Kt. Schwyz
Steinen	Gde. im Bez. Schwyz, Kt. Schwyz
Steinerberg	Gde. im Bez. Schwyz, Kt. Schwyz
Unteriberg	Gde. im Bez. Schwyz, Kt. Schwyz
Alpnach	Gde. im Kanton Obwalden, Kt. Obwalden
Engelberg	Gde. im Kanton Obwalden, Kt. Obwalden
Giswil	Gde. im Kanton Obwalden, Kt. Obwalden
Kerns	Gde. im Kanton Obwalden, Kt. Obwalden
Lungern	Gde. im Kanton Obwalden, Kt. Obwalden
Sachseln	Gde. im Kanton Obwalden, Kt. Obwalden
Sarnen	Gde. im Kanton Obwalden, Kt. Obwalden
Beckenried	Gde. im Kanton Nidwalden, Kt. Nidwalden
Buochs	Gde. im Kanton Nidwalden, Kt. Nidwalden
Dallenwil	Gde. im Kanton Nidwalden, Kt. Nidwalden
Emmetten	Gde. im Kanton Nidwalden, Kt. Nidwalden
Ennetbürgen	Gde. im Kanton Nidwalden, Kt. Nidwalden
Ennetmoos	Gde. im Kanton Nidwalden, Kt. Nidwalden
Hergiswil	Gde. im Kanton Nidwalden, Kt. Nidwalden
Oberdorf	Gde. im Kanton Nidwalden, Kt. Nidwalden
Stans	Gde. im Kanton Nidwalden, Kt. Nidwalden
Stansstad	Gde. im Kanton Nidwalden, Kt. Nidwalden
Wolfenschiessen	Gde. im Kanton Nidwalden, Kt. Nidwalden
Glarus Nord	Gde. im Kanton Glarus, Kt. Glarus
Glarus Süd	Gde. im Kanton Glarus, Kt. Glarus
Glarus	Gde. im Kanton Glarus, Kt. Glarus
Baar	Gde. im Kanton Zug, Kt. Zug
Cham	Gde. im Kanton Zug, Kt. Zug
Hünenberg	Gde. im Kanton Zug, Kt. Zug
Menzingen	Gde. im Kanton Zug, Kt. Zug
Neuheim	Gde. im Kanton Zug, Kt. Zug
Oberägeri	Gde. im Kanton Zug, Kt. Zug
Risch	Gde. im Kanton Zug, Kt. Zug
Steinhausen	Gde. im Kanton Zug, Kt. Zug
Unterägeri	Gde. im Kanton Zug, Kt. Zug
Walchwil	Gde. im Kanton Zug, Kt. Zug
Zug	Gde. im Kanton Zug, Kt. Zug
Bussy	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Châbles	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Châtillon	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Cheiry	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Cheyres	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Cugy	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Domdidier	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Dompierre	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Estavayer-le-Lac	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Fétigny	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Font	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Gletterens	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Léchelles	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Lully	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Ménières	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Montagny	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Morens	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Murist	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Nuvilly	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Prévondavaux	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Rueyres-les-Prés	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Russy	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Saint-Aubin	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Sévaz	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Surpierre	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Vallon	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Villeneuve	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Vuissens	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Les Montets	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Delley-Portalban	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Vernay	Gde. im Bez. la Broye, Kt. Fribourg  Freiburg
Auboranges	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Billens-Hennens	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Chapelle	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Le Châtelard	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Châtonnaye	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Ecublens	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Grangettes	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Massonnens	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Mézières	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Montet	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Romont	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Rue	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Siviriez	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Ursy	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Villaz-Saint-Pierre	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Vuarmarens	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Vuisternens-devant-Romont	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Villorsonnens	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Torny	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
La Folliaz	Gde. im Bez. la Glâne, Kt. Fribourg  Freiburg
Haut-Intyamon	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Pont-en-Ogoz	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Botterens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Broc	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Bulle	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Cerniat	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Charmey	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Châtel-sur-Montsalvens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Corbières	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Crésuz	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Echarlens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Grandvillard	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Gruyères	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Hauteville	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Jaun	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Marsens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Morlon	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Le Pâquier	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Pont-la-Ville	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Riaz	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
La Roche	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Sâles	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Sorens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Vaulruz	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Vuadens	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Bas-Intyamon	Gde. im Bez. la Gruyère, Kt. Fribourg  Freiburg
Arconciel	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Autafond	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Autigny	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Avry	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Belfaux	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Chénens	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Chésopelloz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Corminboeuf	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Corpataux-Magnedens	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Corserey	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Cottens	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Ependes	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Farvagny	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Ferpicloz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Fribourg	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Givisiez	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Granges-Paccot	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Grolley	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Marly	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Matran	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Neyruz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Noréaz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Pierrafortscha	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Ponthaux	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Le Mouret	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Prez-vers-Noréaz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Rossens	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Le Glèbe	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Senèdes	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Treyvaux	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Villars-sur-Glâne	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Villarsel-sur-Marly	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
